Timestamp,exit_timestamp,margin_used,entry_premium,exit_premium,strategy_type,exit_reason,pnl,transaction_cost,uncounted_trades,leg_1_entry_time_of_leg,leg_1_strike_price,leg_1_option_type,leg_1_action,leg_1_lot_size,leg_1_margin_used,leg_1_entry_price,leg_1_entry_delta,leg_1_entry_theta,leg_1_entry_gamma,leg_1_entry_iv,leg_1_exit_time_of_leg,leg_1_exit_price,leg_1_exit_delta,leg_1_exit_theta,leg_1_exit_gamma,leg_1_exit_iv,net_pnl,percentage_return,cumulative_pnl,max_drawdown
2023-01-03 09:35:00,2023-01-03 09:53:59,3432.75,228.85,205.85,debit,SL_hit,-23.0,0.4347,0,2023-01-03 09:35:00,43300.0,PE,buy,1,3432.75,228.85,0.45700005753275263,-62.6109790274069,0.0006073761937841482,0.19201398286689772,2023-01-03 09:53:59,205.85,0.4340385026566196,-60.78212729385629,0.0006196776780598157,0.1871071772422459,-23.4347,-0.682680067001675,-0.682680067001675,-0.0
2023-01-03 10:02:00,2023-01-03 11:40:36,3546.0,236.4,212.45,debit,SL_hit,-23.950000000000017,0.44885,0,2023-01-03 10:02:00,43400.0,CE,buy,1,3546.0,236.4,0.48714405448464504,-67.46480503488328,0.0006403323027370789,0.1838212666574089,2023-01-03 11:40:36,212.45,0.4711129477456666,-65.91194124553573,0.0006756513926120533,0.17667504745922183,-24.398850000000017,-0.6880668358714049,-1.3707469028730799,-0.6880668358714048
2023-01-03 12:49:00,2023-01-03 13:07:03,3845.9999999999995,256.4,230.4,debit,SL_hit,-25.99999999999997,0.48679999999999995,0,2023-01-03 12:49:00,43300.0,PE,buy,1,3845.9999999999995,256.4,0.515107422154415,-62.52623948846062,0.0006560173915204359,0.18469077208357537,2023-01-03 13:07:03,230.4,0.49729535680000936,-59.93679622417295,0.0006906628868819098,0.17596008483296893,-26.48679999999997,-0.6886843473738943,-2.0594312502469743,-1.3767511832452992
2023-01-03 13:20:00,2023-01-03 13:36:02,3413.25,227.55,202.75,debit,SL_hit,-24.80000000000001,0.4303,0,2023-01-03 13:20:00,43300.0,PE,buy,1,3413.25,227.55,0.48506160566574863,-62.035097188122506,0.0006722606826770061,0.18095362608587617,2023-01-03 13:36:02,202.75,0.4627961850857787,-59.61301662400683,0.0006990475753809733,0.17373451183337943,-25.23030000000001,-0.739186991869919,-2.798618242116893,-2.115938175115218
2023-01-03 13:56:00,2023-01-03 14:20:36,3135.0,209.0,187.6,debit,SL_hit,-21.400000000000006,0.3966,0,2023-01-03 13:56:00,43400.0,PE,buy,1,3135.0,209.0,0.4611242090973633,-62.39467337539966,0.0006743644576090446,0.18020298716745795,2023-01-03 14:20:36,187.6,0.4456187421240543,-59.21510781758664,0.0007097625598362356,0.17106487418903976,-21.796600000000005,-0.6952663476874005,-3.4938845898042934,-2.811204522802618
2023-01-03 14:24:00,2023-01-03 15:01:04,2871.0,191.4,231.3,debit,TP_hit,39.900000000000006,0.4227000000000001,0,2023-01-03 14:24:00,43400.0,PE,buy,1,2871.0,191.4,0.45357906866598796,-59.02348817221082,0.0007162734050325525,0.17007552727430483,2023-01-03 15:01:04,231.3,0.510248898017096,-60.375926124901525,0.0007160448944887321,0.17263407808860423,39.47730000000001,1.3750365726227798,-2.118848017181514,-1.4361679501798388
2023-01-03 15:10:00,2023-01-03 15:15:01,2914.5,194.3,187.25,debit,time_breach,-7.050000000000011,0.38155,0,2023-01-03 15:10:00,43400.0,PE,buy,1,2914.5,194.3,0.47489278208985297,-57.009387252854054,0.0007602588425470458,0.162406934655506,2023-01-03 15:15:00,187.25,0.46296989247736064,-57.18786132751217,0.0007569454396616493,0.16281769987167663,-7.431550000000011,-0.25498541773889216,-2.3738334349204058,-1.6911533679187307
2023-01-04 09:42:00,2023-01-04 09:46:28,2921.25,194.75,173.75,debit,SL_hit,-21.0,0.3685,0,2023-01-04 09:42:00,43400.0,CE,buy,1,2921.25,194.75,0.4893417646670173,-116.70614376745152,0.0007841069304959092,0.20103244030829534,2023-01-04 09:46:28,173.75,0.45035328146241227,-115.99033528939809,0.0007683416924919584,0.20414557738831302,-21.3685,-0.731484809584938,-3.1053182445053436,-2.4226381775036687
2023-01-04 09:48:00,2023-01-04 09:55:26,2772.0,184.8,166.05,debit,SL_hit,-18.75,0.35085000000000005,0,2023-01-04 09:48:00,43400.0,CE,buy,1,2772.0,184.8,0.4778166878253387,-115.0326351669671,0.0007956367653605412,0.19829845027764476,2023-01-04 09:55:26,166.05,0.438329620111233,-115.03028572470271,0.0007687575021009252,0.20375210680840256,-19.10085,-0.6890638528138529,-3.7943820973191964,-3.111702030317521
2023-01-04 10:01:00,2023-01-04 11:03:00,3440.25,229.35,204.55,debit,SL_hit,-24.799999999999983,0.4339,0,2023-01-04 10:01:00,43200.0,CE,buy,1,3440.25,229.35,0.5066878462614,-132.48840314038407,0.0007026912385299511,0.22651562577624845,2023-01-04 11:03:00,204.55,0.48751035450464997,-132.78979838101134,0.0007418449854412756,0.21848239799285515,-25.233899999999984,-0.7334902986701544,-4.527872395989351,-3.845192328987676
